Variable name,Description of variable,Type
Paper #,Abritary number starting at 1 for each original paper and increasing by 1 for each Paper. Same as Paper level and Experiment level.,numeric
Experiment #,Abritary number starting at 1 for each unique Study # and increasing by 1 for each Experiment. Same as Experiment level.,numeric
Original paper figure,Number(s) and/or letter(s) of figure(s) and/or table(s) from the original paper that report the original experimental results.,string
Was experiment originally identified by RP:CB team,Indicates if the experiment from the original paper was included at the beginning of the replication design. This coincides with the first draft of the protocols shared with original author(s) for input.,"categorical: Yes, No"
Did experiment continue after sharing with labs (before submitting protocol to eLife),Indicates if the experiment from the original paper was included after sharing the replication design with the replication lab(s) after receiving any initial feedback from original author(s).,"categorical: Yes, No"
Did the experiment protocol get submitted to eLife,Indicates if the experiment from the original paper was included in the Registered Report manuscript submitted to eLife.,"categorical: Yes, No"
Did the experiment protocol get accepted and published in eLife,Indicates if the experiment from the original paper was included in the Registered Report manuscript accepted and published in eLife.,"categorical: Yes, No"
Clarifications asked of original authors,Amount of clarification about the published experimental methodology requested from original author(s). 0 = no clarification; 1 = few clarification; 2 = some clarification; 3 = moderate clarification; 4 = strong clarification; 5 = extreme clarification,"categorical: 0, 1, 2, 3, 4, 5"
Quality of response from original authors,Quality of response from original author(s) to the requested clarification about the published experimental methodology. 0 = not helpful/no response; 1 = minimally helpful; 2 = some helpful; 3 = moderately helpful; 4 = very helpful; 5 = extremely helpful,"categorical: 0, 1, 2, 3, 4, 5"
Data shared by original authors,"Data availability. 0 = no data available outside reported graphs/images in original paper; 1 = summary data statistics reported in original paper or shared by original author(s); 2 = raw data shared by original author(s); 3 = raw data available in paper, paper supplement, or repository","categorical: 0, 1, 2, 3"
Code shared by original authors,"Code availability. 0 = no code available outside analysis details reported in original paper; 1 = additional analysis details shared by original author(s); 2 = code shared by original author(s); 3 = code available in paper, paper supplement, or repository","categorical: 0, 1, 2, 3"
Key materials asked to be shared,List of key reagent materials that were requested to be shared from original author(s). NA indicates no key reagent materials were requested to be shared.,"list: Plasmids, Cells, Antibodies, Organisms, NA"
Key materials offered to be shared,List of key reagent materials that were offered to be shared from original author(s). No indicates key reagent materials requested to be shared were not offered or there was no response from original author(s) about the request to share key reagent materials. NA indicates no key reagent materials were requested to be shared.,"list: Plasmids, Cells, Antibodies, Organisms, No, NA"
Key materials shared,List of key reagent materials that were shared from original author(s). No indicates key reagent materials requested or offered to be shared were not shared or there was no response from original author(s) about the request to share key reagent materials. NA indicates no key reagent materials were requested to be shared either because there was no initial request or because there was no experimental work conducted so the offer to share was not pursued.,"list: Plasmids, Cells, Antibodies, Organisms, No, NA"
Type of experiment,The main type of experimental unit used for investigation.,"categorical: Animal, Cell-based, Patient Samples, Recombinant"
What types of experimental techniques were utilized?,"The experimental technique(s) used for investigation. Note: some techniques represent further detail of the application (e.g., transfection (plasmid), transfection (siRNA)).","categorical: cell culture, viral transduction, transfection, cell isolation, cell proliferation/viability assay, counting assay, colony formation assay, soft agar assay, mitotic shake-off assay, bacterial cell culture, migration assay, differentiation assay, invasion assay, Western blot assay, microscopy, FACS, immunohistochemistry, flow cytometry, immunofluorescence, immunoprecipitation, ELISA, multiplex protein assay, spectral karyotyping, animal care, animal injection, tissue harvesting, IVIS, animal surgery, PCR, RNA extraction, metabolite extraction, GC-MS, genomic DNA extraction, luciferase assay, sequencing, enzyme assay, peptide synthesis, dot blot assay, preparation of recombinant protein, exosome purification and analysis, organic extraction/absorption assay, LC-MS, HPLC, radioligand binding assay, hematology analysis, NanoString hybridization and analysis, RNA gel electrophoresis, histone extraction"
What category of experimental techniques were utilized?,The category(ies) the experimental technique(s) used for investigation.,"categorical: cell, immuno, animal, molecular"
Number of lab(s) contracted for the experiment,Number of labs contracted for the replication. NA indicates no published Registered Report.,numeric
Lab(s) contracted for the experiment,"Unique identifier to indicate the lab(s) contracted for the replication of the experiment. Beginning of unique identifier indicates the type of lab (Core = academic shared resource facility; CRO = contract research organization). End of unique identifier is a number between 1 and 22 for Core and 1 and 26 for CRO, which are arbitrary numbers assigned to each unique lab of each type. NA indicates there were no lab(s) contracted for the replication.",string
Registered Report protocol,Protocol number(s) from the published Registered Report that correspond to the proposed experimental work to replicate the original experimental results. NA indicates no published Registered Report.,string
Experiment description,Brief written description of replication experiment. NA indicates no published Registered Report.,string
Original sample number (reported),"Original sample number reported in original paper. Unknown indicates original sample was unable to be determined (i.e., representative image). NA indicates experiments were originally identified, but did not continue after sharing with labs (before submitting protocol to eLife), experiment did not get submitted to eLife, or experiment did not get accepted and published in eLife. Sample number is determined as either biological repeats not accounting for experimental groups/conditions (e.g., cell-based experiments) or total samples accounting for experimental groups/conditions (e.g., animals or patient samples across).","numeric or categorical: Unknown, NA"
