,0,1
0,ENSG00000175792,ENSG00000138035
1,ENSG00000035141,ENSG00000171848
2,ENSG00000171848,ENSG00000164032
3,ENSG00000198176,ENSG00000171848
4,ENSG00000101557,ENSG00000171848
5,ENSG00000075624,ENSG00000103187
6,ENSG00000099800,ENSG00000103187
7,ENSG00000035141,ENSG00000167721
8,ENSG00000143742,ENSG00000241837
9,ENSG00000160075,ENSG00000241837
10,ENSG00000072506,ENSG00000241837
11,ENSG00000135486,ENSG00000123200
12,ENSG00000129055,ENSG00000123200
13,ENSG00000123416,ENSG00000164032
14,ENSG00000171862,ENSG00000123416
15,ENSG00000123416,ENSG00000187514
16,ENSG00000075624,ENSG00000123416
17,ENSG00000143742,ENSG00000164032
18,ENSG00000187514,ENSG00000164032
19,ENSG00000198176,ENSG00000099800
20,ENSG00000111642,ENSG00000171421
21,ENSG00000171862,ENSG00000072506
22,ENSG00000135486,ENSG00000069329
23,ENSG00000113141,ENSG00000135486
24,ENSG00000187514,ENSG00000135486
25,ENSG00000101557,ENSG00000069329
26,ENSG00000143742,ENSG00000101557
27,ENSG00000138035,ENSG00000167721
28,ENSG00000167721,ENSG00000187514
29,ENSG00000113141,ENSG00000129055
30,ENSG00000099800,ENSG00000129055
31,ENSG00000138035,ENSG00000101557
32,ENSG00000187514,ENSG00000101557
33,ENSG00000087302,ENSG00000138035
34,ENSG00000087302,ENSG00000187514
35,ENSG00000115875,ENSG00000180817
36,ENSG00000242485,ENSG00000180817
37,ENSG00000196230,ENSG00000180817
38,ENSG00000241468,ENSG00000177885
39,ENSG00000105185,ENSG00000177885
40,ENSG00000213593,ENSG00000131462
41,ENSG00000196230,ENSG00000131462
42,ENSG00000115875,ENSG00000067225
43,ENSG00000079785,ENSG00000067225
44,ENSG00000108424,ENSG00000067225
45,ENSG00000197111,ENSG00000155115
46,ENSG00000115875,ENSG00000112118
47,ENSG00000112118,ENSG00000108424
48,ENSG00000196230,ENSG00000112118
49,ENSG00000166598,ENSG00000112118
50,ENSG00000124207,ENSG00000099956
51,ENSG00000166598,ENSG00000099956
52,ENSG00000115875,ENSG00000108424
53,ENSG00000108518,ENSG00000169045
54,ENSG00000124207,ENSG00000169045
55,ENSG00000166598,ENSG00000169045
56,ENSG00000203760,ENSG00000188994
57,ENSG00000166598,ENSG00000188994
58,ENSG00000115216,ENSG00000241468
59,ENSG00000203760,ENSG00000196230
60,ENSG00000111667,ENSG00000108424
61,ENSG00000196230,ENSG00000079785
62,ENSG00000166598,ENSG00000079785
63,ENSG00000124207,ENSG00000241468
64,ENSG00000125971,ENSG00000108518
65,ENSG00000155115,ENSG00000108518
66,ENSG00000125037,ENSG00000155115
67,ENSG00000196230,ENSG00000108424
68,ENSG00000131475,ENSG00000108518
69,ENSG00000196230,ENSG00000108518
70,ENSG00000125037,ENSG00000108518
71,ENSG00000196230,ENSG00000124207
72,ENSG00000106263,ENSG00000204316
73,ENSG00000130725,ENSG00000175550
74,ENSG00000173812,ENSG00000144034
75,ENSG00000047410,ENSG00000144034
76,ENSG00000101972,ENSG00000144034
77,ENSG00000010292,ENSG00000144034
78,ENSG00000125691,ENSG00000147604
79,ENSG00000149357,ENSG00000147604
80,ENSG00000010292,ENSG00000147604
81,ENSG00000110700,ENSG00000147604
82,ENSG00000125691,ENSG00000047410
83,ENSG00000170906,ENSG00000188186
84,ENSG00000108064,ENSG00000188186
85,ENSG00000113312,ENSG00000173812
86,ENSG00000010292,ENSG00000173812
87,ENSG00000146457,ENSG00000060339
88,ENSG00000112237,ENSG00000134809
89,ENSG00000175550,ENSG00000134809
90,ENSG00000108064,ENSG00000047410
91,ENSG00000126261,ENSG00000047410
92,ENSG00000198356,ENSG00000149357
93,ENSG00000105568,ENSG00000204316
94,ENSG00000171314,ENSG00000175550
95,ENSG00000171314,ENSG00000060339
96,ENSG00000105618,ENSG00000060339
97,ENSG00000149357,ENSG00000174780
98,ENSG00000101972,ENSG00000174780
99,ENSG00000060339,ENSG00000174780
100,ENSG00000204316,ENSG00000149357
101,ENSG00000126261,ENSG00000010292
102,ENSG00000060339,ENSG00000010292
103,ENSG00000117410,ENSG00000109920
104,ENSG00000054118,ENSG00000109920
105,ENSG00000162385,ENSG00000109920
106,ENSG00000100129,ENSG00000126698
107,ENSG00000105258,ENSG00000124486
108,ENSG00000083896,ENSG00000056097
109,ENSG00000072849,ENSG00000060688
110,ENSG00000172922,ENSG00000060688
111,ENSG00000162385,ENSG00000060688
112,ENSG00000130816,ENSG00000004487
113,ENSG00000063046,ENSG00000004487
114,ENSG00000108654,ENSG00000004487
115,ENSG00000156467,ENSG00000100804
116,ENSG00000172757,ENSG00000100804
117,ENSG00000185883,ENSG00000054118
118,ENSG00000182220,ENSG00000130816
119,ENSG00000054118,ENSG00000130816
120,ENSG00000156467,ENSG00000130816
121,ENSG00000129128,ENSG00000130816
122,ENSG00000105819,ENSG00000164615
123,ENSG00000063046,ENSG00000126698
124,ENSG00000054118,ENSG00000164615
125,ENSG00000146007,ENSG00000168906
126,ENSG00000156467,ENSG00000168906
127,ENSG00000108654,ENSG00000168906
128,ENSG00000132522,ENSG00000108654
129,ENSG00000063046,ENSG00000124486
130,ENSG00000108654,ENSG00000124486
131,ENSG00000146007,ENSG00000117410
132,ENSG00000174437,ENSG00000117410
133,ENSG00000129128,ENSG00000117410
134,ENSG00000172922,ENSG00000117410
135,ENSG00000133112,ENSG00000110321
136,ENSG00000072274,ENSG00000110321
137,ENSG00000130640,ENSG00000110321
138,ENSG00000171159,ENSG00000110321
139,ENSG00000198258,ENSG00000161203
140,ENSG00000134153,ENSG00000161203
141,ENSG00000084463,ENSG00000161203
142,ENSG00000170348,ENSG00000133112
143,ENSG00000198258,ENSG00000133112
144,ENSG00000133112,ENSG00000169564
145,ENSG00000213465,ENSG00000169564
146,ENSG00000169564,ENSG00000084463
147,ENSG00000072274,ENSG00000133112
148,ENSG00000103363,ENSG00000133112
149,ENSG00000213465,ENSG00000084463
150,ENSG00000120948,ENSG00000108312
151,ENSG00000103363,ENSG00000108312
152,ENSG00000071859,ENSG00000120948
153,ENSG00000189091,ENSG00000120948
154,ENSG00000084463,ENSG00000120948
155,ENSG00000167522,ENSG00000120948
156,ENSG00000072274,ENSG00000100201
157,ENSG00000130640,ENSG00000100201
158,ENSG00000161654,ENSG00000164902
159,ENSG00000132463,ENSG00000164902
160,ENSG00000160783,ENSG00000102144
161,ENSG00000103363,ENSG00000102144
162,ENSG00000072274,ENSG00000084463
163,ENSG00000134153,ENSG00000136888
164,ENSG00000130640,ENSG00000136888
165,ENSG00000160783,ENSG00000132463
166,ENSG00000084463,ENSG00000132463
167,ENSG00000130312,ENSG00000130640
168,ENSG00000167522,ENSG00000130640
