,0,1
0,ENSG00000135334,ENSG00000138778
1,ENSG00000138778,ENSG00000004897
2,ENSG00000166441,ENSG00000004897
3,ENSG00000146007,ENSG00000138778
4,ENSG00000115053,ENSG00000113013
5,ENSG00000196365,ENSG00000113013
6,ENSG00000106105,ENSG00000113013
7,ENSG00000148296,ENSG00000115053
8,ENSG00000204435,ENSG00000115053
9,ENSG00000134987,ENSG00000115053
10,ENSG00000166441,ENSG00000115053
11,ENSG00000148296,ENSG00000172115
12,ENSG00000100804,ENSG00000204435
13,ENSG00000163528,ENSG00000145425
14,ENSG00000181222,ENSG00000145425
15,ENSG00000166441,ENSG00000204435
16,ENSG00000172336,ENSG00000168827
17,ENSG00000213741,ENSG00000168827
18,ENSG00000172115,ENSG00000168827
19,ENSG00000111445,ENSG00000168827
20,ENSG00000204316,ENSG00000138778
21,ENSG00000168495,ENSG00000172115
22,ENSG00000168002,ENSG00000204316
23,ENSG00000058262,ENSG00000204316
24,ENSG00000111445,ENSG00000204316
25,ENSG00000163528,ENSG00000099817
26,ENSG00000134987,ENSG00000099817
27,ENSG00000172115,ENSG00000099817
28,ENSG00000091140,ENSG00000166441
29,ENSG00000213741,ENSG00000166441
30,ENSG00000241553,ENSG00000136930
31,ENSG00000145734,ENSG00000159086
32,ENSG00000095139,ENSG00000159086
33,ENSG00000165819,ENSG00000067704
34,ENSG00000105372,ENSG00000067704
35,ENSG00000163634,ENSG00000125686
36,ENSG00000196235,ENSG00000136527
37,ENSG00000101882,ENSG00000100664
38,ENSG00000169045,ENSG00000147403
39,ENSG00000100664,ENSG00000137692
40,ENSG00000163468,ENSG00000137692
41,ENSG00000171421,ENSG00000137692
42,ENSG00000112110,ENSG00000137692
43,ENSG00000188846,ENSG00000100664
44,ENSG00000138750,ENSG00000164134
45,ENSG00000147403,ENSG00000164134
46,ENSG00000145734,ENSG00000138750
47,ENSG00000163468,ENSG00000138750
48,ENSG00000150316,ENSG00000164151
49,ENSG00000100142,ENSG00000147604
50,ENSG00000188846,ENSG00000147604
51,ENSG00000071082,ENSG00000147604
52,ENSG00000105372,ENSG00000147604
53,ENSG00000145734,ENSG00000164151
54,ENSG00000163468,ENSG00000108561
55,ENSG00000108561,ENSG00000100142
56,ENSG00000171421,ENSG00000100142
57,ENSG00000139168,ENSG00000100142
58,ENSG00000171421,ENSG00000108561
59,ENSG00000112118,ENSG00000108561
60,ENSG00000171421,ENSG00000095139
61,ENSG00000188846,ENSG00000147403
62,ENSG00000188846,ENSG00000105372
63,ENSG00000095139,ENSG00000112118
64,ENSG00000112110,ENSG00000112118
65,ENSG00000162910,ENSG00000180198
66,ENSG00000132313,ENSG00000180198
67,ENSG00000062582,ENSG00000198301
68,ENSG00000162910,ENSG00000198301
69,ENSG00000154719,ENSG00000030066
70,ENSG00000116560,ENSG00000030066
71,ENSG00000161981,ENSG00000157778
72,ENSG00000163714,ENSG00000099956
73,ENSG00000132313,ENSG00000099956
74,ENSG00000134697,ENSG00000196531
75,ENSG00000142507,ENSG00000196531
76,ENSG00000116560,ENSG00000196531
77,ENSG00000104408,ENSG00000196531
78,ENSG00000167522,ENSG00000116560
79,ENSG00000154719,ENSG00000062582
80,ENSG00000142507,ENSG00000062582
81,ENSG00000100084,ENSG00000163714
82,ENSG00000162910,ENSG00000163714
83,ENSG00000134697,ENSG00000116560
84,ENSG00000242372,ENSG00000157778
85,ENSG00000108592,ENSG00000125445
86,ENSG00000104408,ENSG00000125445
87,ENSG00000167978,ENSG00000116560
88,ENSG00000242372,ENSG00000142507
89,ENSG00000129351,ENSG00000142507
90,ENSG00000129351,ENSG00000116560
91,ENSG00000142230,ENSG00000171490
92,ENSG00000104408,ENSG00000168566
93,ENSG00000134001,ENSG00000168566
94,ENSG00000089289,ENSG00000117748
95,ENSG00000170445,ENSG00000117748
96,ENSG00000127554,ENSG00000111639
97,ENSG00000134884,ENSG00000109971
98,ENSG00000041357,ENSG00000109971
99,ENSG00000135521,ENSG00000109971
100,ENSG00000173418,ENSG00000072501
101,ENSG00000041357,ENSG00000072501
102,ENSG00000231500,ENSG00000072501
103,ENSG00000134884,ENSG00000164167
104,ENSG00000111364,ENSG00000111639
105,ENSG00000041357,ENSG00000115484
106,ENSG00000135521,ENSG00000115484
107,ENSG00000136718,ENSG00000115484
108,ENSG00000041357,ENSG00000163636
109,ENSG00000231500,ENSG00000163636
110,ENSG00000173113,ENSG00000163636
111,ENSG00000120686,ENSG00000132463
112,ENSG00000136824,ENSG00000112739
113,ENSG00000105202,ENSG00000132463
114,ENSG00000231500,ENSG00000174748
115,ENSG00000132463,ENSG00000174748
116,ENSG00000089289,ENSG00000231500
117,ENSG00000170445,ENSG00000231500
118,ENSG00000170445,ENSG00000164167
119,ENSG00000089289,ENSG00000136718
